,anonymous_id,md5,ontology_id,class,perspective,location,relation_type1,relation1,relation_type2,relation2
102,5acfa1cf-ea47-459c-ad5e-81b0b94e5bee.mp4,ce2e8d97df6d44b314662996599e8897,28,Bowling,back,indoors,On,WoodFloor,,None
3870,d44087b1-795b-4c7e-90ed-f90f0b6cdc8d.avi,3eb13dcf1306f0b75fdc9cd7541bd4a0,28,Bowling,back,indoors,On,WoodFloor,,None
3853,9f6e8277-0a91-460d-b68a-7769a9fdb71f.avi,c3057cff02d13a15f5133b6e0df0393c,28,Bowling,back,indoors,On,WoodFloor,,None
6965,f789b117-e8b1-428f-8606-611994ad1e84.avi,9fadf5ff0160d9588d7cb874d7fa1425,28,Bowling,back,indoors,On,WoodFloor,,None
3860,29d1ee8b-d3a4-4304-83b9-1ee91d221015.avi,ebfdc4b3c36364309b3591e3a4a7dac8,28,Bowling,back,indoors,On,WoodFloor,,None
6989,cc74c49a-fd7b-4be5-b3e0-9df02ec561a4.avi,6cb54771583ad44bc7be489af636c1dc,28,Bowling,back,indoors,On,WoodFloor,,None
7009,9bfd6a10-8f0e-4949-ba9a-b0a3cdef42af.avi,b22e3f793577aa8e9a563e80edd88941,28,Bowling,back,indoors,On,WoodFloor,,None
6999,d7439410-c0a6-40f7-9218-1bc3029e82ca.avi,c1f83b757dcbaa3387751b7714e68897,28,Bowling,back,indoors,On,WoodFloor,,None
6978,56b848f0-d447-4cdc-915e-f7709b6f9c47.avi,0b5029d5a89f8c8e5956293decc9ea71,28,Bowling,back,indoors,On,WoodFloor,,None
7002,751b902e-ad2d-47a9-945e-b6fe84a1c0b2.avi,3631b032c8f8b2d5f474b05846919d77,28,Bowling,back,indoors,On,WoodFloor,,None
103,9f424ad1-6d49-4234-b147-e4372cb270be.mp4,e157ad0a7f236f5bf82ef69462b8f403,28,Bowling,side,indoors,On,WoodFloor,,None
3836,89b3af3f-d225-430f-9401-7feca3a6250a.avi,75fe83bbe1530612b17204c1a00bab76,28,Bowling,back,indoors,On,WoodFloor,,None
3871,956e1e80-8e98-410a-8ebd-abb2df56b0dd.avi,98b4b4bba59daa6a8eac1c052c24baf4,28,Bowling,back,indoors,On,WoodFloor,,None
7041,dcdde60a-dd01-4640-b4b3-752e14893a3a.avi,df87b5831008b2dbcf2fcf7261fd95d2,28,Bowling,back,indoors,On,WoodFloor,,None
124,527b6bb7-35c7-4245-a945-b6e56c64482a.mp4,d6891f5564bff090ec7ec47fbcb270e2,28,Bowling,side,indoors,On,WoodFloor,,None
100,0d639e7f-cd21-4f4f-870d-dff1ea4ce9cd.mp4,371e41af598076b0a2551557b5ad2212,28,Bowling,back,indoors,On,WoodFloor,,None
137,de6c82b6-b61e-4f62-a110-3a2ddcf555c3.mp4,53962e6ea9941e81dc927385063fecd4,28,Bowling,back,indoors,On,WoodFloor,,None
6954,11dd6f31-4f05-4f7e-ab49-11cc40d3656a.avi,26d683372861486e084de3680b67127b,28,Bowling,back,indoors,On,WoodFloor,,None
8590,613f1ef1-31b7-4151-9770-bf06cdb2e54f.avi,af677a03ecf2a33d6997e60fa9e565d0,28,Bowling,back,indoors,On,WoodFloor,,None
128,48166c3c-658a-4f4e-8ba4-c1b04cf403ca.mp4,814bd3c162f9a739d089801267109cbc,28,Bowling,back,indoors,On,WoodFloor,,None
3841,bdfe0e00-a1e1-4f7f-b764-46329fec3d79.avi,8b9c89bea3ee21396228a55d5fe0ad38,28,Bowling,back,indoors,On,WoodFloor,,None
6957,51571394-ac9b-4ecd-9bcf-383cff7e941d.avi,f00f872b6c7b1e71efb9d4d1fa7af8a8,28,Bowling,back,indoors,On,WoodFloor,,None
7013,c9725495-0143-4783-9361-b85471248cf3.avi,3ef66e2f9fa4969f8e42f568edff2b6c,28,Bowling,back,indoors,On,WoodFloor,,None
3835,d8aa3dfe-2b20-4a8c-bd73-65acea9963ac.avi,9136ae70bd43841ea795f1b5cfbe2ae8,28,Bowling,back,indoors,On,WoodFloor,,None
6980,0590ff27-9add-4f49-8c9e-851e05f143c8.avi,7afbf10e8cd620a4cc0b287e66c90df3,28,Bowling,back,indoors,On,WoodFloor,,None
7042,ca727ed5-7d17-4e79-b5eb-290504ca0f18.avi,c8ad3db4ce689518b44d4d1f0ee1123b,28,Bowling,back,indoors,On,WoodFloor,,None
6961,4c9df883-de60-49ac-977c-ee238542adeb.avi,e5181fbf81df8ee974c1b54817e03735,28,Bowling,back,indoors,On,WoodFloor,,None
3867,18608afb-3a31-4b74-879f-d7a34e0f8952.avi,34544fe05866043f21310ce8a816243a,28,Bowling,back,indoors,On,WoodFloor,,None
7029,70d08c76-92c4-44cf-9802-5aec180ae3ad.avi,7752e706ddee92f6d615ab5d16441891,28,Bowling,back,indoors,On,WoodFloor,,None
